OBJECTID.x,CSA2010,PercAsian,OBJECTID.y,PercLatino,OBJECTID.x.x,PercBlk,OBJECTID.y.y,PercWhite,OBJECTID.x.x.x,tpop20,OBJECTID.y.y.y,mhhi20,OBJECTID.x.x.x.x,hhpov21,OBJECTID.y.y.y.y,bahigher19,PopDensity,Water.x,Tree Canopy.x,Scrub\Shrub.x,Herbaceous.x,Barren.x,Structures.x,Other Impervious.x,Roads.x,Tree Canopy over Structures.x,Tree Canopy over Other Impervious.x,Tree Canopy over Roads.x,Emergent Wetlands.x,total_area_in_pixels.x,PercCanopy,Water.y,Tree Canopy.y,Scrub\Shrub.y,Herbaceous.y,Barren.y,Structures.y,Other Impervious.y,Roads.y,Tree Canopy over Structures.y,Tree Canopy over Other Impervious.y,Tree Canopy over Roads.y,Emergent Wetlands.y,total_area_in_pixels.y,Imperv,PercentImp,Pervious,PercPervious,sum_road_length_ft,avg_temp
1,Allendale/Irvington/S. Hilton,1.045319665,1,3.135958996,1,85.21041273,1,6.858645805,1,14828,1,42714.60327,1,14.16755603,1,11.62898874,0.002502714875152875,22754,1615491,735,1849843,56677,659014,848396,554982,47000,147886,121988,0,5924766,27.266747750037723,22754,1615491,735,1849843,56677,659014,848396,554982,47000,147886,121988,0,5924766,2379266,40.15797417146939,3545500,59.84202582853061,98225.44097053003,31.37184511827775
2,Beechfield/Ten Hills/West Hills,1.489696267,2,3.732516759,2,74.90689398,2,15.7328478,2,12083,2,55435.50291,2,8.45752608,2,24.83667493,0.0027279945796827056,0,1860164,0,971804,1123,422162,445166,391248,61529,125096,150969,0,4429261,41.99716386096913,0,1860164,0,971804,1123,422162,445166,391248,61529,125096,150969,0,4429261,1596170,36.036937087247736,2833091,63.963062912752264,81643.75924660418,30.193108898413588
3,Belair-Edison,0.464037123,3,2.147828969,3,86.21146835,3,7.835598276,3,15085,3,50010.43737,3,18.91460495,3,15.77951905,0.0036121622472653765,1404,716723,703,1563562,9929,573513,569505,541533,24123,77620,97554,0,4176169,17.16221254455938,1404,716723,703,1563562,9929,573513,569505,541533,24123,77620,97554,0,4176169,1883848,45.1094771308345,2292321,54.890522869165494,116280.84093698542,31.946157791306927
4,Brooklyn/Curtis Bay/Hawkins Point,1.624749611,4,24.09674308,4,35.78158617,4,31.73084057,4,13479,4,32598.81788,4,32.12334114,4,9.524370144,8.248670078654579e-4,554158,2093711,10717,3522145,792150,1303523,6088620,1569333,31010,195101,110913,69435,16340816,12.812768958416765,554158,2093711,10717,3522145,792150,1303523,6088620,1569333,31010,195101,110913,69435,16340816,9298500,56.90352305539699,7042316,43.09647694460301,127514.95979038713,31.612175713162177
5,Canton,4.575798034,5,6.833353562,5,3.908241291,5,79.90047336,5,8239,5,134208.7611,5,2.173913043,5,75.16358068,0.005755111249883871,12173,130835,0,297685,8142,338353,294696,273053,5237,32484,38939,0,1431597,9.139094312156285,12173,130835,0,297685,8142,338353,294696,273053,5237,32484,38939,0,1431597,982762,68.64795050562414,448835,31.352049494375862,92263.69322737188,32.24994959757581
6,Cedonia/Frankford,1.184591405,6,2.979291917,6,82.59630372,6,9.712758851,6,22455,6,51097.82835,6,12.46473907,6,16.7202381,0.0033831237343418473,12700,1734930,0,1842236,7809,832205,1011056,856810,69904,169161,100546,0,6637357,26.13886822721755,12700,1734930,0,1842236,7809,832205,1011056,856810,69904,169161,100546,0,6637357,3039682,45.79657234046624,3597675,54.20342765953375,148483.3896365362,31.278586786980643
7,Cherry Hill,0.627001067,7,4.068836713,7,89.12753469,7,2.508004269,7,7496,7,24762.08057,7,38.00904977,7,11.48908858,0.002768331703454653,28395,516660,1691,979435,411,296942,515801,271793,8092,47904,32060,8584,2707768,19.080659790646763,28395,516660,1691,979435,411,296942,515801,271793,8092,47904,32060,8584,2707768,1172592,43.304743981020536,1535176,56.695256018979464,37303.95249059708,31.407170975431946
8,Chinquapin Park/Belvedere,2.077850118,8,3.670868541,8,67.41931015,8,22.35766727,8,7219,8,59616.52459,8,9.193054137,8,30.98921707,0.00370614895238017,0,597601,0,471615,2074,235392,194886,248532,47571,61415,88758,0,1947844,30.68012633455246,0,597601,0,471615,2074,235392,194886,248532,47571,61415,88758,0,1947844,876554,45.00124239928865,1071290,54.99875760071134,73203.89288317236,31.091328141727907
9,Orchard Ridge/Armistead,1.070167696,9,22.83759929,9,53.17740512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106170.60183392392,NA
10,Clifton-Berea,0.158374027,10,3.906559324,10,89.9036558,10,2.336016893,10,7577,10,39619.076,10,17.1848502,10,12.97814208,0.0035024577759000214,0,121510,831,515563,303,467736,533516,432785,14523,43005,33566,0,2163338,5.616782953010579,0,121510,831,515563,303,467736,533516,432785,14523,43005,33566,0,2163338,1525131,70.49896964783127,638207,29.501030352168733,115185.61035595469,32.73574925662463
11,Cross-Country/Cheswolde,1.801256338,11,3.647922501,11,22.90925604,11,66.82812382,11,13213,11,63371.33486,11,4.6923555,11,50.05828865,0.0037210609571910426,24,1342010,618,829714,166,398519,296725,310584,87479,148157,136873,0,3550869,37.79384708362939,24,1342010,618,829714,166,398519,296725,310584,87479,148157,136873,0,3550869,1378337,38.81689242830417,2172532,61.18310757169583,82408.89059269929,30.80860360407044
12,Dickeyville/Franklintown,1.334422658,12,3.839869281,12,79.30283224,12,11.32897603,12,3672,12,45807.76524,12,6.129032258,12,25.39325843,0.0011101698451022825,8190,2298150,0,520766,12675,108864,123379,100435,17244,37487,80412,0,3307602,69.48085047717349,8190,2298150,0,520766,12675,108864,123379,100435,17244,37487,80412,0,3307602,467821,14.143811740348447,2839781,85.85618825965156,31297.843282138856,29.09267662884548
13,Dorchester/Ashburton,0.565079973,13,2.777511733,13,90.93956518,13,2.327363279,13,10441,13,55345.78571,13,12.28528753,13,17.14024877,0.003293858142322055,0,651200,0,887110,7495,487836,425889,398780,74455,100697,136377,0,3169839,20.54363013389639,0,651200,0,887110,7495,487836,425889,398780,74455,100697,136377,0,3169839,1624034,51.233958570135584,1545805,48.76604142986442,96018.62738462997,31.33442645687677
14,Downtown/Seton Hill,15.11430991,14,6.646909399,14,37.82811177,14,34.20829805,14,9448,14,59158.50435,14,7.514450867,14,68.84278304,0.0049039708253183585,0,85744,0,88002,9,787066,428425,462894,5085,40975,28402,0,1926602,4.450530000487905,0,85744,0,88002,9,787066,428425,462894,5085,40975,28402,0,1926602,1752847,90.98127168974185,173755,9.018728310258165,158141.13620881797,32.74561253949028
15,Edmondson Village,0.084590441,15,2.001973777,15,93.68391372,15,1.325250247,15,7093,15,44911.29825,15,14.48423303,15,15.06581288,0.0032400274258066607,101,1097190,0,321037,2878,254952,157516,249171,17756,25500,63078,0,2189179,50.11878882448626,101,1097190,0,321037,2878,254952,157516,249171,17756,25500,63078,0,2189179,767973,35.08041142364329,1421206,64.91958857635672,46693.43380995886,30.178658378906473
16,Fells Point,7.407407407,16,13.11336717,16,6.551983456,16,67.3998872,16,10638,16,97869.61329,16,3.344262295,16,76.98168694,0.009072541957734815,20241,49212,0,40372,0,470566,311653,207408,9989,23088,40020,0,1172549,4.197010103628932,20241,49212,0,40372,0,470566,311653,207408,9989,23088,40020,0,1172549,1062724,90.63365368952599,109825,9.36634631047402,66243.83933815853,32.39425623262295
17,Forest Park/Walbrook,0.488011882,17,2.429450456,17,89.83662211,17,3.553999576,17,9426,17,48992.13428,17,15.89436971,17,20.46697799,0.002727243531042576,8435,1532237,194,708865,73,356173,181696,332444,96873,79982,159265,0,3456237,44.33252117837984,8435,1532237,194,708865,73,356173,181696,332444,96873,79982,159265,0,3456237,1206433,34.90596854324515,2249804,65.09403145675485,105341.15476781633,30.043626855101103
18,Glen-Fallstaff,1.262330137,18,11.7334621,18,57.03938746,18,25.74325723,18,14497,18,44228.12617,18,14.3334447,18,29.04114796,0.003322942976354775,0,892186,1292,979660,142,712278,891954,517718,74087,154695,138687,0,4362699,20.450322151493836,0,892186,1292,979660,142,712278,891954,517718,74087,154695,138687,0,4362699,2489419,57.06144292787562,1873280,42.93855707212439,155434.79252659203,31.45796434525625
19,Greater Charles Village/Barclay,15.95845137,19,9.01203966,19,30.3411237,19,38.64494806,19,16944,19,45797.71277,19,12.22812953,19,55.48738248,0.006741988815078754,0,414008,0,261551,6,673139,519921,429695,24889,80683,109313,0,2513205,16.473307987211548,0,414008,0,261551,6,673139,519921,429695,24889,80683,109313,0,2513205,1837640,73.1193834167925,675565,26.8806165832075,92471.92116379752,32.33134545663103
20,Greater Govans,0.302303763,20,2.189096216,20,86.49014907,20,6.900865214,20,9593,20,43781.9232,20,17.19330855,20,18.32541236,0.004548946340168054,0,519193,0,478997,48,351145,268837,314516,46001,63464,66639,0,2108840,24.61983839456763,0,519193,0,478997,48,351145,268837,314516,46001,63464,66639,0,2108840,1110602,52.66411866239259,998238,47.335881337607404,79107.25633520777,31.275101651634877
21,Greater Mondawmin,3.426719148,21,1.991201667,21,87.4739523,21,3.82032878,21,8638,21,40488.62406,21,10.53906723,21,18.63776088,0.0027618744936190403,112877,498210,0,687525,7442,558702,662781,404940,31500,75903,87706,0,3127586,15.929537988723572,112877,498210,0,687525,7442,558702,662781,404940,31500,75903,87706,0,3127586,1821532,58.240828549558664,1306054,41.75917145044133,115461.59170380331,31.820191027913584
22,Greater Roland Park/Poplar Hill,8.252093917,22,4.201565289,22,8.787587533,22,73.85692709,22,7283,22,125868.9492,22,0.161637931,22,82.42669753,0.0013828440752640847,13878,2531140,3403,979351,3769,389794,370623,305791,164346,193789,310798,0,5266682,48.05948033315852,13878,2531140,3403,979351,3769,389794,370623,305791,164346,193789,310798,0,5266682,1735141,32.94561927224769,3531541,67.05438072775232,116436.5128058458,30.178907135341813
23,Greater Rosemont,0.152327969,23,1.516656732,23,94.17179946,23,1.21862375,23,15099,23,37490.01423,23,20.91305807,23,6.292487363,0.0038506933747365544,6655,761374,0,661392,11920,796872,763945,621072,55420,121363,121099,0,3921112,19.417297950173317,6655,761374,0,661392,11920,796872,763945,621072,55420,121363,121099,0,3921112,2479771,63.24152434309451,1441341,36.758475656905496,137616.5708220863,31.64457851379156
24,Oliver/Johnson Square,0.287562904,24,2.228612509,24,93.21351546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Hamilton,1.000726334,25,3.542894036,25,62.19029941,25,28.1252522,25,12391,25,72534.87857,25,4.496788009,25,33.5628033,0.0029518166143132733,0,1191732,0,1101741,7,513905,508233,548860,85525,137395,110356,0,4197754,28.389753187061462,0,1191732,0,1101741,7,513905,508233,548860,85525,137395,110356,0,4197754,1904274,45.364116144014154,2293480,54.635883855985846,129123.94548480831,31.267197564683812
26,Harbor East/Little Italy,7.837676547,26,8.991446191,26,44.10185001,26,34.05609708,26,5027,26,61235.21176,26,24.83069977,26,40.52173913,0.005297461918235514,2170,37366,0,64211,0,308704,258267,232866,3946,21156,20259,0,948945,3.9376360063017346,2170,37366,0,64211,0,308704,258267,232866,3946,21156,20259,0,948945,845198,89.06712190906744,103747,10.932878090932562,64415.977350971465,32.488870305313874
27,Hamilton Hills,1.161094225,27,4.686930091,27,58.79027356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132195.26824632383,NA
28,Highlandtown,4.240362812,28,25.27210884,28,6.41723356,28,59.89795918,28,8820,28,99549.14653,28,7.795100223,28,62.41824585,0.00812501093928627,0,18292,0,22057,1284,424626,313768,265165,3480,14752,22113,0,1085537,1.6850646270002774,0,18292,0,22057,1284,424626,313768,265165,3480,14752,22113,0,1085537,1043904,96.16475532386275,41633,3.8352446761372483,63985.239191056105,32.91605366269015
29,Howard Park/West Arlington,0.47943746,29,3.473258044,29,89.49499254,29,2.3971873,29,9386,29,50991.5501,29,9.70521542,29,28.63095968,0.0015997251186158849,3228,1857921,3684,1709514,9268,530812,691815,625155,118432,139352,178077,0,5867258,31.665916174131088,3228,1857921,3684,1709514,9268,530812,691815,625155,118432,139352,178077,0,5867258,2283643,38.92180981303362,3583615,61.07819018696639,112987.64470328613,30.77131040805391
30,Inner Harbor/Federal Hill,5.772282465,30,5.005289606,30,10.77096006,30,73.75694261,30,15124,30,104058.2792,30,2.926421405,30,74.3587271,0.006512352111390329,7384,133701,0,170593,4585,734109,663857,475987,10118,61802,60220,0,2322356,5.757127675515726,7384,133701,0,170593,4585,734109,663857,475987,10118,61802,60220,0,2322356,2006093,86.38180365111981,316263,13.618196348880188,102870.6923738927,32.406274053639606
31,Greater Lauraville,1.359943483,31,4.08866125,31,59.31649594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117568.98006684422,NA
32,Loch Raven,1.28521997,32,2.732857849,32,87.04187557,32,5.493962291,32,14161,32,55191.38952,32,8.304389012,32,26.24810217,0.0034603310589453626,2386,1102219,0,1282871,5959,448222,503426,492475,24308,96167,134350,0,4092383,26.93342729651648,2386,1102219,0,1282871,5959,448222,503426,492475,24308,96167,134350,0,4092383,1698948,41.514882649058016,2393435,58.485117350941984,89165.58983543974,31.23811675914159
33,Madison/East End,0.968324307,33,12.7195142,33,77.46594453,33,4.759560151,33,6093,33,37302.91011,33,32.05479452,33,7.699757869,0.007370409975274712,0,31224,0,89210,0,269335,194875,211934,3390,12744,13972,0,826684,3.7770175786636733,0,31224,0,89210,0,269335,194875,211934,3390,12744,13972,0,826684,706250,85.43167643259093,120434,14.56832356740907,62756.495915275475,33.27141741362055
34,Hampden/Remington,8.537754469,34,5.148593019,34,9.507697513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156465.19277843006,NA
35,Midtown,10.86613252,35,6.819112229,35,29.89648517,35,46.83314814,35,17099,35,58809.76982,35,6.142778085,35,60.91820089,0.007725281944101831,1331,175623,0,125436,25,652882,532949,555113,16615,74332,79076,0,2213382,7.934599630791251,1331,175623,0,125436,25,652882,532949,555113,16615,74332,79076,0,2213382,1910967,86.3369721087458,302415,13.663027891254199,170852.08769889246,32.692879528783635
36,Midway/Coldstream,0.378736643,36,2.637630191,36,90.53158393,36,2.529419721,36,7393,36,35897.87864,36,24.18169673,36,10.794193,0.004449333984112874,6,127870,0,200804,0,498041,388603,340952,18369,45688,41264,0,1661597,7.695608501941205,6,127870,0,200804,0,498041,388603,340952,18369,45688,41264,0,1661597,1332917,80.2190302462029,328680,19.780969753797102,74025.47506135439,32.506661879878514
37,Morrell Park/Violetville,3.237115812,37,11.27731682,37,28.36274395,37,51.01086829,37,8557,37,43842.76871,37,8.171466845,37,13.30707313,0.0013742840095944521,7412,1401146,4386,1481766,17550,822711,1464237,763572,37133,155971,70631,0,6226515,22.50289287024925,7412,1401146,4386,1481766,17550,822711,1464237,763572,37133,155971,70631,0,6226515,3314255,53.228089870497385,2912260,46.77191012950262,76963.72046520944,31.98773943150367
38,Mount Washington/Coldspring,3.730569948,38,3.333333333,38,23.0224525,38,63.93782383,38,5790,38,86714.77803,38,2.934362934,38,68.87924432,0.001094471614056418,8848,3023557,2889,770662,15089,244255,336316,377178,127765,159158,224507,0,5290224,57.15366683906012,8848,3023557,2889,770662,15089,244255,336316,377178,127765,159158,224507,0,5290224,1469179,27.77158396317434,3821045,72.22841603682566,125648.46513404106,29.819137693181716
39,North Baltimore/Guilford/Homeland,17.20753432,39,5.974129127,39,12.1241348,39,59.18529445,39,17626,39,114246.7419,39,5.058717254,39,75.86740118,0.0025371270382949862,1904,2768754,0,1550296,3996,656977,601093,526435,198526,277932,361315,0,6947228,39.85408280827979,1904,2768754,0,1550296,3996,656977,601093,526435,198526,277932,361315,0,6947228,2622278,37.74567352618915,4324950,62.25432647381085,173221.10921452852,30.69954135896091
40,Northwood,5.711140164,40,2.160600014,40,78.28390559,40,10.17683892,40,14533,40,56756.57065,40,7.306073361,40,26.45315488,0.0029657846044086585,315313,1115171,816,1302879,5123,598408,662486,592949,58446,105419,143211,0,4900221,22.757565424090057,315313,1115171,816,1302879,5123,598408,662486,592949,58446,105419,143211,0,4900221,2160919,44.0983988273182,2739302,55.9016011726818,121411.08413126954,31.47316204884386
41,Oldtown/Middle East,5.305225297,41,4.55589969,41,77.49025877,41,8.682186033,41,10009,41,24190.73777,41,41.43126177,41,20.75769534,0.004382210737532766,577,135006,0,253680,1056,615291,662183,492337,8576,69204,46097,0,2284007,5.910927593479355,577,135006,0,253680,1056,615291,662183,492337,8576,69204,46097,0,2284007,1893688,82.91077917011637,390319,17.089220829883622,120689.45022427026,32.95814038898456
42,Greektown/Bayview,3.790645105,42,50.30429491,42,10.05042601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177972.5519045654,NA
43,Patterson Park North & East,2.884078212,43,25.49581006,43,27.84916201,43,39.09217877,43,14320,43,80327.95796,43,17.95965865,43,48.22075431,0.010624193633348097,0,49570,0,102680,3131,473283,318584,342815,4607,21012,32185,0,1347867,3.6776625586945895,0,49570,0,102680,3131,473283,318584,342815,4607,21012,32185,0,1347867,1192486,88.47208218615042,155381,11.527917813849587,110516.98444132738,33.19601306423101
44,Penn North/Reservoir Hill,0.768087215,44,2.576808722,44,82.24727453,44,9.588701685,44,8072,44,33920.78431,44,11.37026239,44,25.57178693,0.0021159710464278966,190927,1344473,0,815885,8556,390211,346236,486960,22674,65851,143024,0,3814797,35.243631574629006,190927,1344473,0,815885,8556,390211,346236,486960,22674,65851,143024,0,3814797,1454956,38.139801410140564,2359841,61.860198589859436,127052.06471851238,31.32150809914448
45,Pimlico/Arlington/Hilltop,0.597269625,45,2.570392491,45,90.68899317,45,3.071672355,45,9376,45,34041.74468,45,18.92567146,45,13.44855523,0.0033195302808005393,0,423264,0,617496,22792,487266,651085,392669,59801,87485,82638,0,2824496,14.985469974112196,0,423264,0,617496,22792,487266,651085,392669,59801,87485,82638,0,2824496,1760944,62.345423749936266,1063552,37.65457625006373,121955.58244233087,31.810346264737035
46,Poppleton/The Terraces/Hollins Market,1.649746193,46,4.230118443,46,78.36294416,46,10.63874788,46,4728,46,23373.55828,46,45.81861013,46,19.69111969,0.005470721572901877,0,88604,0,142217,13,191483,172842,209715,8766,25135,25462,0,864237,10.25228033513955,0,88604,0,142217,13,191483,172842,209715,8766,25135,25462,0,864237,633403,73.29042843571844,230834,26.70957156428156,64749.17240199409,32.2446355684915
47,Sandtown-Winchester/Harlem Park,0.503276042,47,1.918146425,47,92.47934669,47,1.965625297,47,10531,47,26689.47685,47,30.20197276,47,6.799791177,0.004788285138265087,0,220427,0,311365,2298,555771,454371,491159,28423,67528,67984,0,2199326,10.02247961420908,0,220427,0,311365,2298,555771,454371,491159,28423,67528,67984,0,2199326,1665236,75.71574200459595,534090,24.284257995404047,95916.59195353472,32.67879676003445
48,South Baltimore,3.679337232,48,5.275341131,48,4.605263158,48,81.54239766,48,8208,48,124827.1012,48,0,48,76.02131439,0.0019058963668850506,35467,206046,7937,701961,23648,823699,1871102,560844,3726,48641,23273,291,4306635,4.784385024502889,35467,206046,7937,701961,23648,823699,1871102,560844,3726,48641,23273,291,4306635,3331285,77.35238765300518,975350,22.647612346994812,62871.73639353303,32.01542715522728
49,Southeastern,1.284701713,49,40.78558771,49,24.54223272,49,28.94270526,49,6772,49,41980.89626,49,23.18181818,49,10.41137633,6.552831380514752e-4,61925,456499,0,1298877,277344,1570660,5500740,1037374,9741,84123,37181,0,10334464,4.4172489255369225,61925,456499,0,1298877,277344,1570660,5500740,1037374,9741,84123,37181,0,10334464,8239819,79.73145970608635,2094645,20.26854029391365,100414.69708440625,32.01044152116583
50,Southern Park Heights,0.150093809,50,2.467166979,50,90.45028143,50,3.714821764,50,10660,50,30312.4375,50,28.99560117,50,12.89311575,0.00411603830155116,0,545959,0,537812,39,447321,431344,398611,56021,81163,91599,0,2589869,21.080564306534423,0,545959,0,537812,39,447321,431344,398611,56021,81163,91599,0,2589869,1506059,58.1519374145951,1083810,41.8480625854049,97158.51888939561,31.619208137622778
51,Southwest Baltimore,0.917431193,51,6.899689135,51,75.2293578,51,12.33603761,51,13189,51,29768.27692,51,34.26093242,51,8.731401723,0.0037588820653245768,2194,349391,1881,469928,34149,898111,857461,686260,42707,93014,73660,0,3508756,9.957688707906733,2194,349391,1881,469928,34149,898111,857461,686260,42707,93014,73660,0,3508756,2651213,75.55991354200748,857543,24.440086457992518,150579.19127816544,32.40971287615834
52,The Waverlies,2.028539452,52,5.400111919,52,68.50867375,52,19.13822048,52,7148,52,43890.35081,52,25.29699511,52,28.55345912,0.003774409839233797,0,257556,0,420109,2829,370539,420053,266089,26770,58449,71412,0,1893806,13.59991466918998,0,257556,0,420109,2829,370539,420053,266089,26770,58449,71412,0,1893806,1213312,64.06738599413035,680494,35.93261400586966,76156.03164499368,32.017497822662776
53,Upton/Druid Heights,0.594436967,53,2.007626738,53,88.02153432,53,5.047106326,53,8916,53,21530.46308,53,43.54743665,53,14.01508507,0.005652769324406573,0,153304,0,228023,2100,376521,351740,346737,12166,57566,49123,0,1577280,9.719517143436802,0,153304,0,228023,2100,376521,351740,346737,12166,57566,49123,0,1577280,1193853,75.69061929397444,383427,24.309380706025564,89326.8437660829,32.403926962651504
54,Pigtown/Carroll Park,6.321063789,54,5.93563307,54,51.76334554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74922.84570416511,NA
55,Westport/Mount Winans/Lakeland,1.991181909,55,31.54601052,55,51.58583416,55,10.68126867,55,7031,55,35200.57716,55,28.50280224,55,17.49255348,0.0016733643286134352,13070,746263,252,993416,772,481889,1242319,557844,17471,100168,47212,1039,4201715,17.760914293330224,13070,746263,252,993416,772,481889,1242319,557844,17471,100168,47212,1039,4201715,2446903,58.23581561338644,1754812,41.764184386613564,61405.75567374582,31.896801585747035
