"SPP","Genus","Species","other"
"Ulmus americana","Ulmus","americana",NA
"Sassafras albidum","Sassafras","albidum",NA
"Acer rubrum","Acer","rubrum",NA
"Acer x freemanii","Acer","x","freemanii"
"Quercus rubra","Quercus","rubra",NA
"Tilia americana","Tilia","americana",NA
"Thuja spp.","Thuja","spp.",NA
"Fraxinus pennsylvanica","Fraxinus","pennsylvanica",NA
"Platanus occidentalis","Platanus","occidentalis",NA
"Cercis canadensis","Cercis","canadensis",NA
"Acer platanoides","Acer","platanoides",NA
"Fraxinus americana","Fraxinus","americana",NA
"Liriodendron tulipifera","Liriodendron","tulipifera",NA
"Acer tataricum ginnala","Acer","tataricum","ginnala"
"Quercus palustris","Quercus","palustris",NA
"Morus alba","Morus","alba",NA
"Platanus x acerifolia","Platanus","x","acerifolia"
"Quercus acutissima","Quercus","acutissima",NA
"Acer palmatum","Acer","palmatum",NA
"Gleditsia triacanthos inermis","Gleditsia","triacanthos","inermis"
"Tilia cordata","Tilia","cordata",NA
"Tilia tomentosa","Tilia","tomentosa",NA
"Acer saccharinum","Acer","saccharinum",NA
"Ulmus pumila","Ulmus","pumila",NA
"Quercus phellos","Quercus","phellos",NA
"Acer saccharum","Acer","saccharum",NA
"Cladrastis kentukea","Cladrastis","kentukea",NA
"Prunus serrulata","Prunus","serrulata",NA
"Tsuga candensis","Tsuga","candensis",NA
"Quercus alba","Quercus","alba",NA
"Prunus spp.","Prunus","spp.",NA
"Pinus strobus","Pinus","strobus",NA
"Pyrus calleryana","Pyrus","calleryana",NA
"Liquidambar styraciflua","Liquidambar","styraciflua",NA
"Picea abies","Picea","abies",NA
"Crataegus viridis","Crataegus","viridis",NA
"Diospyros virginiana","Diospyros","virginiana",NA
"Picea pungens","Picea","pungens",NA
"Juniperus spp.","Juniperus","spp.",NA
"Pinus nigra","Pinus","nigra",NA
"Poncirus trifoliata","Poncirus","trifoliata",NA
"Carya cordiformis","Carya","cordiformis",NA
"Ailanthus altissima","Ailanthus","altissima",NA
"Nyssa sylvatica","Nyssa","sylvatica",NA
"Thuja occidentalis","Thuja","occidentalis",NA
"Ulmus rubra","Ulmus","rubra",NA
"Malus spp.","Malus","spp.",NA
"Morus rubra","Morus","rubra",NA
"Zelkova serrata","Zelkova","serrata",NA
"Carpinus caroliniana","Carpinus","caroliniana",NA
"Ficus carica","Ficus","carica",NA
"Acer negundo","Acer","negundo",NA
"Pinus mugo","Pinus","mugo",NA
"Magnolia x soulangiana","Magnolia","x","soulangiana"
"Lagerstroemia indica","Lagerstroemia","indica",NA
"Carya glabra","Carya","glabra",NA
"Aesculus x carnea","Aesculus","x","carnea"
"Taxus spp.","Taxus","spp.",NA
"Metasequoia glyptostroboides","Metasequoia","glyptostroboides",NA
"Quercus bicolor","Quercus","bicolor",NA
"Chamaecyparis pisifera","Chamaecyparis","pisifera",NA
"Cornus florida","Cornus","florida",NA
"Syringa vulgaris","Syringa","vulgaris",NA
"Juglans nigra","Juglans","nigra",NA
"Celtis occidentalis","Celtis","occidentalis",NA
"Acer pseudoplatanus","Acer","pseudoplatanus",NA
"Cornus kousa","Cornus","kousa",NA
"Prunus serotina","Prunus","serotina",NA
"Ulmus x","Ulmus","x",NA
"Juniperus virginiana","Juniperus","virginiana",NA
"Prunus x yedoensis","Prunus","x","yedoensis"
"Juniperus chinensis","Juniperus","chinensis",NA
"Styphnolobium japonicum","Styphnolobium","japonicum",NA
"Platycladus orientalis","Platycladus","orientalis",NA
"Salix discolor","Salix","discolor",NA
"Fraxinus excelsior","Fraxinus","excelsior",NA
"Malus pumila","Malus","pumila",NA
"Ulmus parvifolia","Ulmus","parvifolia",NA
"X Cupressocyparis leylandii","X","Cupressocyparis","leylandii"
"Syringa reticulata","Syringa","reticulata",NA
"Magnolia grandiflora","Magnolia","grandiflora",NA
"Pinus sylvestris","Pinus","sylvestris",NA
"Koelreuteria paniculata","Koelreuteria","paniculata",NA
"Robinia pseudoacacia","Robinia","pseudoacacia",NA
"Fraxinus spp.","Fraxinus","spp.",NA
"Photinia spp.","Photinia","spp.",NA
"Amelanchier spp.","Amelanchier","spp.",NA
"Amelanchier laevis","Amelanchier","laevis",NA
"Quercus macrocarpa","Quercus","macrocarpa",NA
"Betula nigra","Betula","nigra",NA
"Quercus prinus","Quercus","prinus",NA
"Picea glauca","Picea","glauca",NA
"Phellodendron amurense","Phellodendron","amurense",NA
"Tilia x euchlora","Tilia","x","euchlora"
"Ilex cornuta","Ilex","cornuta",NA
"Pseudotsuga menziesii","Pseudotsuga","menziesii",NA
"Ostrya virginiana","Ostrya","virginiana",NA
"Quercus shumardii","Quercus","shumardii",NA
"Acer campestre","Acer","campestre",NA
"Ginkgo biloba","Ginkgo","biloba",NA
"Pinus virginiana","Pinus","virginiana",NA
"Viburnum spp.","Viburnum","spp.",NA
"Populus balsamifera","Populus","balsamifera",NA
"Amelanchier canadensis","Amelanchier","canadensis",NA
"Magnolia stellata","Magnolia","stellata",NA
"Albizia julibrissin","Albizia","julibrissin",NA
"Quercus imbricaria","Quercus","imbricaria",NA
"Broussonetia papyrifera","Broussonetia","papyrifera",NA
"Corylus colurna","Corylus","colurna",NA
"Fagus grandifolia","Fagus","grandifolia",NA
"Catalpa speciosa","Catalpa","speciosa",NA
"Maclura pomifera","Maclura","pomifera",NA
"Aesculus hippocastanum","Aesculus","hippocastanum",NA
"Abies fraseri","Abies","fraseri",NA
"Quercus falcata","Quercus","falcata",NA
"Prunus subhirtella","Prunus","subhirtella",NA
"Hydrangea spp.","Hydrangea","spp.",NA
"Ilex opaca","Ilex","opaca",NA
"Crataegus phaenopyrum","Crataegus","phaenopyrum",NA
"Acer buergerianum","Acer","buergerianum",NA
"Carpinus betulus","Carpinus","betulus",NA
"Acer nigrum","Acer","nigrum",NA
"Pyrus communis","Pyrus","communis",NA
"Photinia x fraseri","Photinia","x","fraseri"
"Magnolia x","Magnolia","x",NA
"Prunus americana","Prunus","americana",NA
"Ulmus carpinifolia","Ulmus","carpinifolia",NA
"Paulownia tomentosa","Paulownia","tomentosa",NA
"Prunus cerasifera","Prunus","cerasifera",NA
"Juglans cinerea","Juglans","cinerea",NA
"Crataegus spp.","Crataegus","spp.",NA
"Euonymus spp.","Euonymus","spp.",NA
"Cotinus coggygria","Cotinus","coggygria",NA
"Quercus coccinea","Quercus","coccinea",NA
"Pistacia chinensis","Pistacia","chinensis",NA
"Gymnocladus dioicus","Gymnocladus","dioicus",NA
"Pinus echinata","Pinus","echinata",NA
"Parrotia persica","Parrotia","persica",NA
"Cryptomeria japonica","Cryptomeria","japonica",NA
"Quercus robur","Quercus","robur",NA
"Aesculus glabra","Aesculus","glabra",NA
"Populus deltoides","Populus","deltoides",NA
"Castanea mollissima","Castanea","mollissima",NA
"Cedrus atlantica","Cedrus","atlantica",NA
"Quercus stellata","Quercus","stellata",NA
"Catalpa bignonioides","Catalpa","bignonioides",NA
"Carya illinoinensis","Carya","illinoinensis",NA
"Ilex aquifolium","Ilex","aquifolium",NA
"Physocarpus opulifolius","Physocarpus","opulifolius",NA
"Hibiscus syriacus","Hibiscus","syriacus",NA
"Populus nigra","Populus","nigra",NA
"Prunus avium","Prunus","avium",NA
"Carya tomentosa","Carya","tomentosa",NA
"Magnolia virginiana","Magnolia","virginiana",NA
"Ulmus thomasi","Ulmus","thomasi",NA
"Chamaecyparis obtusa","Chamaecyparis","obtusa",NA
"Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis",NA
"Quercus x","Quercus","x",NA
"Ulmus spp.","Ulmus","spp.",NA
"Cupressus arizonica","Cupressus","arizonica",NA
"Taxodium distichum","Taxodium","distichum",NA
"Amelanchier arborea","Amelanchier","arborea",NA
"Quercus velutina","Quercus","velutina",NA
"Cornus mas","Cornus","mas",NA
"Salix matsudana","Salix","matsudana",NA
"Syringa pekinensis","Syringa","pekinensis",NA
"Crataegus crusgalli","Crataegus","crusgalli",NA
"Crataegus mollis","Crataegus","mollis",NA
"Prunus persica","Prunus","persica",NA
"Gleditsia triacanthos","Gleditsia","triacanthos",NA
"Salix nigra","Salix","nigra",NA
"Salix babylonica","Salix","babylonica",NA
"Cercidiphyllum japonicum","Cercidiphyllum","japonicum",NA
"Pinus taeda","Pinus","taeda",NA
"Hamamelis virginiana","Hamamelis","virginiana",NA
"Carya ovata","Carya","ovata",NA
"Asimina triloba","Asimina","triloba",NA
"Styrax japonicus","Styrax","japonicus",NA
"Populus alba","Populus","alba",NA
"Chamaecyparis spp.","Chamaecyparis","spp.",NA
"Aesculus flava","Aesculus","flava",NA
"Betula papyrifera","Betula","papyrifera",NA
"Ligustrum lucidum","Ligustrum","lucidum",NA
"Cedrus deodara","Cedrus","deodara",NA
"Quercus michauxii","Quercus","michauxii",NA
"Zelkova sinica","Zelkova","sinica",NA
"Maackia amurensis","Maackia","amurensis",NA
"Larix decidua","Larix","decidua",NA
"Quercus lyrata","Quercus","lyrata",NA
"Tilia mongolica","Tilia","mongolica",NA
"Fagus sylvatica","Fagus","sylvatica",NA
"Styrax americanus","Styrax","americanus",NA
"persimmon, Japanese","persimmon,","Japanese",NA
"Pinus palustris","Pinus","palustris",NA
"Malus angustifolia","Malus","angustifolia",NA
"Quercus nigra","Quercus","nigra",NA
"Acer tataricum","Acer","tataricum",NA
"Ilex glabra","Ilex","glabra",NA
"Celtis laevigata","Celtis","laevigata",NA
"Lonicera spp.","Lonicera","spp.",NA
"Quercus ellipsoidalis","Quercus","ellipsoidalis",NA
"Acer griseum","Acer","griseum",NA
"Ilex myrtifolia","Ilex","myrtifolia",NA
"Ilex crenata","Ilex","crenata",NA
"Ilex spp.","Ilex","spp.",NA
"Chionanthus virginicus","Chionanthus","virginicus",NA
"Photinia serrulata","Photinia","serrulata",NA
"Ilex x","Ilex","x",NA
"Magnolia acuminata","Magnolia","acuminata",NA
"Thuja plicata","Thuja","plicata",NA
"Pinus thunbergii","Pinus","thunbergii",NA
"Pinus resinosa","Pinus","resinosa",NA
"Aesculus pavia","Aesculus","pavia",NA
"Chamaecyparis lawsonia","Chamaecyparis","lawsonia",NA
"Lagerstroemia speciosa","Lagerstroemia","speciosa",NA
"Acer truncatum","Acer","truncatum",NA
"Liquidambar orientalis","Liquidambar","orientalis",NA
"Viburnum lentago","Viburnum","lentago",NA
"Ficus spp.","Ficus","spp.",NA
"Ilex x attenuata-Fosteri","Ilex","x","attenuata-Fosteri"
"Betula populifolia","Betula","populifolia",NA
"Quercus muehlenbergii","Quercus","muehlenbergii",NA
"Castanea dentata","Castanea","dentata",NA
"Ulmus alata","Ulmus","alata",NA
"Magnolia spp.","Magnolia","spp.",NA
"Salix spp.","Salix","spp.",NA
"Larix laricina","Larix","laricina",NA
"Eucommia ulmoides","Eucommia","ulmoides",NA
"Rhamnus cathartica","Rhamnus","cathartica",NA
"Prunus caroliniana","Prunus","caroliniana",NA
"Vitex agnus-castus","Vitex","agnus-castus",NA
"Rhus spp.","Rhus","spp.",NA
"Aesculus parviflora","Aesculus","parviflora",NA
"Fraxinus angustifolia","Fraxinus","angustifolia",NA
"Pinus serotina","Pinus","serotina",NA
"Fraxinus tomentosa","Fraxinus","tomentosa",NA
"Musa acuminata","Musa","acuminata",NA
"Juglans regia","Juglans","regia",NA
"Viburnum rufidulum","Viburnum","rufidulum",NA
"Acer miyabei","Acer","miyabei",NA
"Corylus americana","Corylus","americana",NA
"Fraxinus nigra","Fraxinus","nigra",NA
"Quercus marilandica","Quercus","marilandica",NA
"Quercus texana","Quercus","texana",NA
"Sorbus aucuparia","Sorbus","aucuparia",NA
"Picea omorika","Picea","omorika",NA
"Betula pendula","Betula","pendula",NA
"Populus grandidentata","Populus","grandidentata",NA
"Populus spp.","Populus","spp.",NA
"Prunus armeniaca","Prunus","armeniaca",NA
"Picea orientalis","Picea","orientalis",NA
"Rhus typhina","Rhus","typhina",NA
"Carya laciniosa","Carya","laciniosa",NA
"Prunus virginiana","Prunus","virginiana",NA
"Cupressus sempervirens","Cupressus","sempervirens",NA
"Myrica cerifera","Myrica","cerifera",NA
"Prunus campanulata","Prunus","campanulata",NA
"Prunus sargentii","Prunus","sargentii",NA
"Quercus virginiana","Quercus","virginiana",NA
"Abies concolor","Abies","concolor",NA
"Betula platyphylla","Betula","platyphylla",NA
"Liquidambar formosana","Liquidambar","formosana",NA
"Sorbus alnifolia","Sorbus","alnifolia",NA
"Pinus parviflora","Pinus","parviflora",NA
"Hovenia dulcis","Hovenia","dulcis",NA
